Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
湘南ベルマーレ,1.0,4.0,6.0,10.0,12.0,8.0,7.0,10.0,11.0,14.0,14.0,15.0,15.0,17.0,17.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,15.0,15.0,,,,,2023
鹿島アントラーズ,2.0,7.0,3.0,4.0,10.0,13.0,14.0,15.0,13.0,9.0,8.0,5.0,5.0,4.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,4.0,6.0,7.0,6.0,7.0,5.0,,,,,2023
FC東京,7.0,14.0,17.0,10.0,15.0,9.0,7.0,9.0,10.0,8.0,6.0,4.0,4.0,5.0,8.0,9.0,6.0,8.0,6.0,6.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,10.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,9.0,7.0,2024
FC町田ゼルビア,9.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2024
アビスパ福岡,13.0,6.0,7.0,13.0,16.0,12.0,12.0,12.0,13.0,13.0,9.0,12.0,9.0,10.0,11.0,10.0,10.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,13.0,13.0,12.0,11.0,11.0,9.0,12.0,10.0,12.0,2024
アルビレックス新潟,4.0,11.0,5.0,7.0,7.0,11.0,14.0,14.0,11.0,14.0,15.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0,14.0,14.0,11.0,12.0,13.0,11.0,12.0,14.0,14.0,16.0,16.0,16.0,17.0,16.0,2024
ガンバ大阪,9.0,3.0,9.0,5.0,6.0,6.0,12.0,10.0,6.0,9.0,10.0,8.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2024
サガン鳥栖,15.0,7.0,15.0,17.0,19.0,19.0,19.0,20.0,17.0,18.0,18.0,19.0,18.0,17.0,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2024
サンフレッチェ広島,2.0,2.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,9.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2024
ジュビロ磐田,18.0,13.0,16.0,16.0,18.0,17.0,11.0,13.0,14.0,12.0,11.0,13.0,15.0,16.0,16.0,14.0,16.0,16.0,16.0,13.0,16.0,16.0,16.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,2024
